Posición,Equipo,PJ,Dif. Goles,Puntos
1,Paris S-G,31,53,78
2,Marseille,31,23,58
3,Lille,31,17,56
4,Monaco,31,22,55
5,Lyon,31,20,54
6,Nice,31,20,54
7,Strasbourg,31,13,54
8,Lens,31,-2,45
9,Brest,31,-4,44
10,Auxerre,31,0,41
11,Rennes,31,2,38
12,Toulouse,31,-1,35
13,Reims,31,-10,33
14,Nantes,31,-15,32
15,Angers,31,-21,30
16,Le Havre,31,-31,28
17,Saint-Étienne,30,-39,24
18,Montpellier,30,-47,16
