Posición,Equipo,PJ,Dif. Goles,Puntos
1,Sporting CP,31,58,75
2,Benfica,31,55,75
3,Braga,31,26,64
4,Porto,31,29,62
5,Vitória,31,12,51
6,Santa Clara,31,2,50
7,Famalicão,31,6,44
8,Estoril,31,-8,42
9,Casa Pia,31,-5,41
10,Moreirense,31,-9,36
11,Rio Ave,31,-18,33
12,Arouca,31,-17,33
13,Nacional,31,-14,33
14,Gil Vicente FC,31,-12,32
15,Estrela,31,-19,29
16,AVS Futebol,31,-32,24
17,Boavista,31,-32,21
18,Farense,31,-22,21
