Posición,Equipo,PJ,Dif. Goles,Puntos
1,CD América,18,13,33
2,Nacional,17,17,32
3,Junior,17,9,31
4,Millonarios,16,10,30
5,Independiente,16,11,29
6,Santa Fe,17,7,27
7,Tolima,16,7,27
8,Once Caldas,16,1,26
9,Pasto,17,1,26
10,AD Cali,17,2,24
11,Alianza,17,-4,23
12,Pereira,16,-1,21
13,CA Bucaramanga,17,-2,20
14,Envigado,17,-9,18
15,Llaneros,17,-6,17
16,Fortaleza FC,17,-12,17
17,Boyacá Chicó,18,-16,17
18,Rionegro,17,-6,12
19,La Equidad,17,-12,10
20,Unión Magdalena,16,-10,8
