Posición,Equipo,PJ,Dif. Goles,Puntos
1,Liverpool,35,46,82
2,Arsenal,35,33,67
3,Manchester City,35,24,64
4,Newcastle Utd,35,21,63
5,Chelsea,35,21,63
6,Nott'ham Forest,34,12,60
7,Aston Villa,35,6,60
8,Bournemouth,35,13,53
9,Brentford,35,9,52
10,Brighton,35,1,52
11,Fulham,35,3,51
12,Crystal Palace,34,-4,45
13,Wolves,35,-11,41
14,Everton,35,-7,39
15,Manchester Utd,35,-9,39
16,Tottenham,35,6,38
17,West Ham,35,-19,37
18,Ipswich Town,35,-41,22
19,Leicester City,35,-47,21
20,Southampton,35,-57,11
