Posición,Equipo,PJ,Dif. Goles,Puntos
1,Barcelona,34,58,79
2,Real Madrid,34,36,75
3,Atlético Madrid,34,29,67
4,Athletic Club,34,24,61
5,Villarreal,34,13,58
6,Betis,34,10,57
7,Celta Vigo,34,0,46
8,Rayo Vallecano,34,-6,44
9,Mallorca,33,-7,44
10,Osasuna,34,-8,44
11,Real Sociedad,34,-5,43
12,Valencia,34,-11,42
13,Getafe,34,0,39
14,Espanyol,34,-8,39
15,Sevilla,34,-9,38
16,Alavés,34,-11,35
17,Girona,33,-12,35
18,Las Palmas,34,-16,32
19,Leganés,34,-19,31
20,Valladolid,34,-58,16
