Posición,Equipo,PJ,Dif. Goles,Puntos
1,Napoli,35,30,77
2,Inter,35,40,74
3,Atalanta,35,40,68
4,Juventus,35,20,63
5,Roma,35,18,63
6,Lazio,35,13,63
7,Bologna,35,15,62
8,Fiorentina,35,18,59
9,Milan,34,15,54
10,Como,35,-3,45
11,Torino,35,-1,44
12,Udinese,35,-11,44
13,Genoa,34,-12,39
14,Cagliari,35,-15,33
15,Hellas Verona,35,-33,32
16,Parma,35,-14,32
17,Lecce,35,-33,27
18,Venezia,35,-21,26
19,Empoli,35,-28,25
20,Monza,35,-38,15
