Posición,Equipo,PJ,Dif. Goles,Puntos
1,Ajax,31,36,74
2,PSV Eindhoven,30,55,67
3,Feyenoord,30,36,62
4,Utrecht,31,19,62
5,Twente,30,12,48
6,AZ Alkmaar,30,14,47
7,Go Ahead Eag,30,6,47
8,Heerenveen,31,-14,40
9,Fortuna Sittard,30,-15,36
10,Sparta R'dam,30,-3,35
11,Groningen,30,-13,35
12,Heracles Almelo,30,-15,35
13,NEC Nijmegen,30,-2,33
14,NAC Breda,30,-18,32
15,Zwolle,30,-13,31
16,Willem II,30,-20,24
17,Almere City,31,-38,20
18,RKC Waalwijk,30,-27,19
